classified_fraction,easting,forest_fraction,northing,source
1.0,571280,0.8465232849121094,6291280,sweden-forest-selection-v2
1.0,531280,0.8315505981445312,6391280,sweden-forest-selection-v2
1.0,331280,0.8717079162597656,6551280,sweden-forest-selection-v2
1.0,421280,0.8989219665527344,6671280,sweden-forest-selection-v2
1.0,371280,0.9087104797363281,6691280,sweden-forest-selection-v2
1.0,581280,0.8929634094238281,6891280,sweden-forest-selection-v2
1.0,691280,0.8693275451660156,7051280,sweden-forest-selection-v2
1.0,750060,0.8791961669921875,7295060,sweden-forest-selection-v2
1.0,761280,0.8759765625,7351280,sweden-forest-selection-v2
1.0,681280,0.8502922058105469,7421280,sweden-forest-selection-v2
